Season,Band,Parameter,Coefficient,Abs_Coefficient,VIP,VIP_Class,Influence_Class,R2_Train,R2_CV,RMSE_CV,Components
Nov15_Jan15,B2,Residual_NDVI,-0.996491968,0.996491968,1.556396751,High,Very Strong,0.379768885,0.227225835,0.879075745,3
Nov15_Jan15,B3,Soil_Moisture,-0.420181941,0.420181941,0.799028174,Low,Strong,0.428545821,0.286012708,0.844977687,3
Nov15_Jan15,B3,CAMS_AOD,-0.112721293,0.112721293,0.703037907,Low,Weak,0.428545821,0.286012708,0.844977687,3
Nov15_Jan15,B3,TCWV,-0.099641904,0.099641904,0.849264978,Moderate,Negligible,0.428545821,0.286012708,0.844977687,3
Nov15_Jan15,B3,Residual_NDVI,-1.094983939,1.094983939,1.464937089,High,Very Strong,0.428545821,0.286012708,0.844977687,3
Nov15_Jan15,B4,Soil_Moisture,-0.295812828,0.295812828,0.890155455,Moderate,Moderate,0.469193027,-0.086175731,1.042197549,3
Nov15_Jan15,B4,CAMS_AOD,-0.01059098,0.01059098,0.601267478,Low,Negligible,0.469193027,-0.086175731,1.042197549,3
Nov15_Jan15,B4,TCWV,-0.090871901,0.090871901,0.46720847,Low,Negligible,0.469193027,-0.086175731,1.042197549,3
Nov15_Jan15,B4,Residual_NDVI,-1.106862891,1.106862891,1.621054265,High,Very Strong,0.469193027,-0.086175731,1.042197549,3
Nov15_Jan15,B5,Soil_Moisture,-0.308500628,0.308500628,0.844798533,Moderate,Moderate,0.404163428,-0.233332133,1.110554876,3
Nov15_Jan15,B5,CAMS_AOD,-0.066571831,0.066571831,0.657732879,Low,Negligible,0.404163428,-0.233332133,1.110554876,3
Nov15_Jan15,B5,TCWV,-0.046748827,0.046748827,0.59975297,Low,Negligible,0.404163428,-0.233332133,1.110554876,3
Nov15_Jan15,B5,Residual_NDVI,-1.004115319,1.004115319,1.579240094,High,Very Strong,0.404163428,-0.233332133,1.110554876,3
Nov15_Jan15,B8A,Soil_Moisture,-0.362686628,0.362686628,0.933026095,Moderate,Moderate,0.22795575,-0.576348783,1.255527293,3
Nov15_Jan15,B8A,CAMS_AOD,-0.030818475,0.030818475,0.702075236,Low,Negligible,0.22795575,-0.576348783,1.255527293,3
Nov15_Jan15,B8A,TCWV,0.025783608,0.025783608,0.958307455,Moderate,Negligible,0.22795575,-0.576348783,1.255527293,3
Nov15_Jan15,B8A,Residual_NDVI,-0.718144626,0.718144626,1.310801087,High,Very Strong,0.22795575,-0.576348783,1.255527293,3
Nov15_Jan15,B9,Soil_Moisture,-0.380606967,0.380606967,0.852917607,Moderate,Moderate,0.682194897,0.513573681,0.697442699,4
Nov15_Jan15,B9,CAMS_AOD,-0.059486247,0.059486247,0.374102455,Low,Negligible,0.682194897,0.513573681,0.697442699,4
Nov15_Jan15,B9,TCWV,-0.202059121,0.202059121,0.273829977,Low,Weak,0.682194897,0.513573681,0.697442699,4
Nov15_Jan15,B9,Residual_NDVI,-0.905762505,0.905762505,1.748598311,High,Very Strong,0.682194897,0.513573681,0.697442699,4
Nov15_Jan15,B11,Soil_Moisture,-0.882687042,0.882687042,1.604683361,High,Very Strong,0.587026623,0.324966687,0.82160411,4
Nov15_Jan15,B11,CAMS_AOD,-0.121135816,0.121135816,0.282115799,Low,Weak,0.587026623,0.324966687,0.82160411,4
Nov15_Jan15,B11,TCWV,-0.207402781,0.207402781,0.786259203,Low,Weak,0.587026623,0.324966687,0.82160411,4
Nov15_Jan15,B11,Residual_NDVI,-0.927300153,0.927300153,0.852759316,Moderate,Very Strong,0.587026623,0.324966687,0.82160411,4
Nov15_Jan15,B12,Soil_Moisture,-0.831037391,0.831037391,1.404268192,High,Very Strong,0.590600291,0.2568287,0.862073837,4
Nov15_Jan15,B12,CAMS_AOD,-0.148051058,0.148051058,0.398443436,Low,Weak,0.590600291,0.2568287,0.862073837,4
Nov15_Jan15,B12,TCWV,-0.326112188,0.326112188,0.816949984,Moderate,Moderate,0.590600291,0.2568287,0.862073837,4
Nov15_Jan15,B12,Residual_NDVI,-1.107633739,1.107633739,1.096296673,High,Very Strong,0.590600291,0.2568287,0.862073837,4
